Job ;204619;Arklow Bank
CPT name;WTG_CPT039
Start Date & Time ;2023-07-08 08:21:15
End   Date & Time ;2023-07-08 09:26:19
Wather Depth ;27.24
Clients ref. :;SSE
Position:;299083.93;5847915.46;
Dist. Tip to Sleeve center;0.08
;Length;Depth;qc;fs;fs(d. cor.);u;Incl.;Time;Speed;
Scan;m;m;MPa;Mpa;MPa;MPa;deg.;sec.;mm/sec.;
1;-0.6678;-0.6678;0.004;-0.0005;-0.0002;-0.0002;3.3898; 0.00000000000000E+0000;;
2;-0.6635;-0.6635;0.001;-0.0001;-0.0002;0.0001;2.4052; 1.30640001269057E+0001;0.3;
3;-0.6526;-0.6526;0.004;-0.0005;-0.0006;0.0001;2.7549; 1.35739997494966E+0001;1.1;
4;-0.6439;-0.6439;0.004;-0.0007;-0.0007;0.0002;2.9928; 1.40749997226521E+0001;1.7;
5;-0.6373;-0.6374;0.007;-0.0007;-0.0006;0.0002;2.8627; 1.43039998132735E+0001;2.1;
6;-0.6308;-0.6308;0.004;-0.0004;-0.0005;0.0004;2.4152; 1.48140000645071E+0001;2.5;
7;-0.6242;-0.6243;0.002;-0.0008;-0.0005;0.0006;1.7748; 1.50570000289008E+0001;2.9;
8;-0.6155;-0.6156;0.000;-0.0003;-0.0004;0.0006;1.6951; 1.55550001189113E+0001;3.4;
9;-0.6090;-0.6090;0.003;-0.0005;-0.0003;0.0006;0.5474; 1.58060001907870E+0001;3.7;
10;-0.6025;-0.6025;0.003;-0.0002;-0.0007;0.0007;0.7027; 1.60560000920668E+0001;4.1;
11;-0.5937;-0.5938;0.001;-0.0003;-0.0008;0.0008;1.0342; 1.65580002358183E+0001;4.5;
12;-0.5850;-0.5851;-0.002;-0.0001;-0.0005;0.0008;0.3527; 1.70599997509271E+0001;4.8;
13;-0.5785;-0.5785;0.003;-0.0005;-0.0009;0.0008;0.4671; 1.73090001102537E+0001;5.2;
14;-0.5676;-0.5677;0.001;-0.0008;-0.0004;0.0007;0.4772; 1.78100000834092E+0001;5.6;
15;-0.5611;-0.5611;0.005;-0.0007;-0.0002;0.0007;0.4671; 1.83099998859689E+0001;5.8;
16;-0.5545;-0.5546;0.004;-0.0005;-0.0002;0.0007;0.4671; 1.85599997872487E+0001;6.1;
17;-0.5480;-0.5480;0.004;-0.0005;-0.0001;0.0007;0.4671; 1.88100003171712E+0001;6.4;
18;-0.5371;-0.5372;0.004;-0.0004;-0.0002;0.0007;0.4671; 1.93039997247979E+0001;6.8;
19;-0.5284;-0.5284;0.004;-0.0003;-0.0006;0.0008;0.4772; 1.98450002353638E+0001;7.0;
20;-0.5197;-0.5197;0.003;-0.0009;-0.0006;0.0010;0.3527; 2.03460002085194E+0001;7.3;
21;-0.5131;-0.5132;0.003;-0.0008;-0.0005;0.0012;0.3527; 2.05960001097992E+0001;7.5;
